ID,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
56,57422,0,2,35,905,372,472,165,187,27
57,126669,0,0,79,134,326,2,348,44,78
58,42937,0,2,63,696,207,775,539,147,15
59,132233,0,0,57,92,192,196,55,58,60
60,39779,1,0,13,68,53,504,111,3,105
61,25548,2,0,98,95,108,14,160,81,111
62,136427,0,2,49,579,250,312,284,178,34
63,80042,2,2,89,410,34,638,568,88,121
64,55648,2,1,9,586,44,696,212,97,53
65,40945,2,0,72,275,241,635,396,13,106
66,133189,1,0,91,634,121,714,193,274,165
67,59780,0,2,5,558,291,238,583,130,10
68,38222,2,1,73,329,467,187,367,279,89
69,33070,2,2,47,0,87,714,191,270,135
70,106636,2,2,91,645,373,162,103,273,52
71,112467,0,1,14,147,371,20,346,193,145
72,118022,2,0,89,110,333,14,81,84,77
73,47944,1,1,74,146,127,365,591,230,70
74,57707,2,0,87,586,77,582,64,272,0
75,115241,2,2,31,641,407,769,319,218,63
76,138320,2,1,50,86,386,735,423,101,81
77,81578,1,2,8,648,494,273,360,265,75
78,22345,1,0,29,740,15,718,449,134,65
79,126327,2,0,58,874,232,147,146,282,136
80,90586,2,1,28,793,485,354,130,248,78
81,24840,1,0,40,888,140,709,580,160,152
82,94754,2,1,63,921,249,157,241,173,152
83,113118,0,2,47,192,488,737,550,106,10
84,96761,0,2,88,854,380,117,293,262,168
85,76825,2,1,35,506,208,112,153,21,27
86,96947,1,0,31,507,335,277,213,199,111
87,51852,0,0,66,746,384,798,328,286,74
88,116502,2,1,29,542,282,384,15,101,152
89,78480,1,0,82,297,90,578,96,234,134
90,37063,2,0,63,278,373,76,389,36,196
91,71854,2,1,44,526,360,495,170,85,91
92,63112,1,2,44,845,495,435,53,112,44
93,79445,2,1,59,837,468,75,354,197,188
94,45501,2,1,52,674,260,583,402,58,192
95,66838,0,1,50,668,196,227,340,96,147
96,59497,1,0,9,265,243,759,156,86,178
97,44009,2,1,50,402,114,648,11,24,71
98,149196,2,0,65,551,162,56,179,14,75
99,51904,2,2,17,290,270,733,115,286,74
100,121045,1,2,29,974,43,501,581,270,54
101,83929,1,2,34,446,107,674,62,191,198
102,33273,0,1,90,976,137,650,426,72,55
103,38437,0,0,35,199,112,494,101,29,101
104,30375,2,0,15,131,42,152,136,29,167
105,83229,2,2,72,725,360,301,145,91,174
106,51867,1,0,20,59,248,1,487,198,51
107,50004,2,1,94,386,49,737,446,297,2
108,125755,1,2,51,780,40,489,1,222,71
109,69998,1,0,65,840,301,628,530,3,105
110,49226,2,0,39,134,337,761,458,193,106
111,143996,2,1,10,608,124,94,357,128,173
112,137341,1,2,62,478,404,575,67,111,64
113,97148,2,1,49,763,358,240,112,222,170
114,81394,0,2,11,464,241,458,253,246,65
115,60460,2,0,1,401,100,637,465,191,65
116,95069,2,2,28,683,404,588,212,71,135
117,101443,2,1,36,738,402,424,331,286,20
118,126301,0,2,48,365,131,621,74,201,55
119,68969,2,1,37,857,231,285,423,128,34
120,71851,1,1,44,747,21,479,126,70,25
121,76197,0,2,72,487,196,628,316,221,128
122,106035,0,2,21,435,317,90,1,72,156
123,43131,1,0,72,463,450,580,251,105,36
124,84319,0,1,78,644,250,313,246,119,166
125,52135,0,2,15,905,339,572,516,114,35
126,103851,0,2,1,253,296,273,546,43,58
127,55025,2,2,50,575,257,127,14,42,24
128,114166,1,0,80,668,152,474,229,9,198
129,101066,2,0,7,603,327,113,539,168,12
130,48869,2,1,4,589,148,775,185,42,157
131,73724,1,0,63,558,90,265,380,90,44
132,37525,1,1,58,730,434,167,234,230,155
133,149426,2,1,14,830,33,175,487,11,164
134,33172,1,0,74,270,203,634,447,2,118
135,97316,0,1,8,944,4,754,352,213,143
136,140520,1,1,61,952,266,735,131,133,122
137,78568,2,1,84,563,415,583,490,268,105
138,71474,0,1,95,645,22,94,316,100,188
139,55556,1,0,25,203,408,631,278,290,158
140,98224,2,2,57,716,316,663,5,298,39
141,100383,2,0,26,986,374,497,507,119,105
142,119380,2,2,18,916,178,624,389,111,31
143,141074,2,2,32,17,210,661,88,270,144
144,39489,2,2,40,913,19,268,422,248,73
145,37173,2,1,54,521,272,307,255,285,162
146,42507,2,0,25,298,436,421,580,120,13
147,51619,0,0,22,702,326,303,446,264,24
148,67539,0,0,25,545,37,529,516,153,37
149,56582,2,2,26,225,372,561,308,247,147
150,34579,2,2,24,857,304,160,474,168,78
151,35692,0,2,54,526,486,758,213,245,159
152,131722,1,2,87,6,337,798,453,10,40
153,109570,1,1,44,328,432,4,88,131,27
154,22402,0,1,61,251,288,136,519,215,12
155,47644,0,0,66,388,396,212,211,243,34
156,30076,0,2,62,112,246,525,592,117,23
157,99541,0,0,24,914,336,368,196,30,156
158,117284,1,2,52,390,467,60,174,239,4
159,82340,2,0,40,844,485,711,523,134,113
160,45593,1,1,95,609,362,254,221,270,90
161,70525,2,1,83,901,4,114,254,96,123
162,80307,1,2,26,850,14,434,284,41,58
163,86507,2,1,47,878,364,10,60,294,95
164,77477,0,0,59,151,228,704,230,258,51
165,123630,1,0,10,500,108,666,39,82,153
166,27540,1,1,93,666,210,436,324,180,189
167,101254,0,1,74,818,273,257,353,277,144
168,99132,0,0,39,176,446,687,504,220,35
169,96189,0,1,60,729,30,556,199,38,137
170,40467,0,1,64,987,358,101,438,269,128
171,92369,0,2,78,138,140,48,209,33,181
172,37179,2,0,39,246,124,252,581,63,41
173,112288,1,1,78,614,277,731,267,19,1
174,31162,1,1,26,590,46,713,422,10,185
175,65740,2,1,87,746,472,359,119,146,117
176,71671,2,0,60,454,157,31,208,46,186
177,58842,1,1,83,789,449,579,358,79,156
178,32090,2,2,67,352,497,799,557,253,112
179,107065,2,0,65,927,326,689,435,274,86
180,107687,2,2,91,613,11,573,433,259,84
181,41596,1,2,18,86,77,51,524,219,63
182,70428,1,0,2,776,25,24,433,288,46
183,59404,2,2,19,233,379,102,269,32,13
184,130761,2,2,34,541,429,290,336,92,3
185,144294,0,2,60,576,198,775,76,118,95
186,138609,2,0,58,585,32,322,439,197,158
187,121425,1,1,35,367,329,106,31,40,73
188,79790,2,0,10,892,17,337,235,197,79
189,41605,0,2,81,154,143,224,351,260,15
190,52908,0,2,71,271,18,153,349,71,51
191,68627,2,1,26,364,490,333,381,153,59
192,117744,2,0,5,410,254,661,500,189,195
193,115525,0,0,9,421,387,457,400,100,112
194,78056,0,1,18,73,38,662,280,189,101
195,41137,0,2,28,495,108,158,32,203,190
196,137536,0,0,57,104,450,526,555,193,178
197,57132,1,2,44,742,289,232,172,252,91
198,89499,1,1,79,382,87,180,288,4,1
199,54646,0,1,83,511,88,1,546,155,98
200,124621,0,1,30,573,433,298,474,269,162
201,136921,1,1,7,777,447,604,596,90,184
202,99435,2,2,57,120,199,628,75,47,185
203,39501,1,2,86,505,0,374,411,96,182
204,26291,0,0,34,704,23,411,486,47,199
205,85094,2,2,97,745,142,316,391,220,139
206,96211,0,0,83,359,443,412,92,213,140
207,144514,2,0,3,347,170,530,504,60,82
208,110574,1,2,79,872,332,782,102,71,23
209,129346,1,0,52,988,172,711,199,191,162
210,149300,1,0,57,299,347,734,60,209,189
211,21732,2,1,37,160,66,241,452,225,33
212,53398,1,1,27,870,436,387,40,37,29
213,143766,1,2,87,911,323,150,106,146,2
214,122705,2,0,97,637,454,246,401,183,107
215,43996,0,1,70,757,43,421,466,187,167
216,64385,1,1,24,936,395,268,159,232,178
217,93268,0,0,50,157,290,256,396,263,154
218,124687,1,0,64,623,475,469,504,250,98
219,54075,2,1,25,469,367,344,365,281,176
220,45461,2,0,51,78,449,73,586,49,170
221,95430,0,1,43,824,472,13,516,223,26
222,61288,0,1,50,610,416,500,586,277,74
223,141106,1,0,39,31,393,39,391,67,153
224,120654,2,0,67,181,147,730,127,98,138
225,72451,0,2,88,889,114,89,398,43,198
226,48057,1,1,45,383,281,310,390,88,75
227,116873,1,2,21,669,453,316,180,91,75
228,143315,0,1,11,790,122,398,1,37,61
229,23989,0,2,17,672,419,740,505,107,167
230,129328,0,0,22,353,476,49,118,42,22
231,143845,2,2,51,445,213,665,53,73,26
232,135530,1,1,34,722,200,383,29,190,24
233,134680,2,1,68,93,174,274,350,240,56
234,64991,0,2,53,290,132,591,397,145,38
235,55871,0,1,33,740,388,797,355,79,53
236,39599,0,0,92,262,487,673,339,148,171
237,44590,2,0,1,970,420,540,370,187,197
238,135753,1,2,13,289,473,644,377,237,48
239,28842,2,0,73,48,316,237,131,59,79
240,102476,1,0,34,371,42,418,260,84,161
241,112470,2,1,77,588,412,111,163,286,86
242,68927,2,0,43,861,243,133,75,208,28
243,67707,0,1,73,864,328,605,170,166,98
244,129549,1,0,40,844,456,69,456,85,20
245,114772,1,0,85,70,417,20,471,89,35
246,64305,1,1,19,920,48,574,204,264,17
247,136154,2,2,64,920,103,682,191,83,197
248,97407,2,2,83,364,288,403,439,289,127
249,117438,1,2,27,532,480,255,234,101,60
250,99835,2,0,35,860,463,785,168,191,8
251,86273,0,1,99,946,38,633,542,23,23
252,137786,1,2,67,396,238,664,572,215,162
253,138264,0,2,3,798,185,204,103,90,109
254,105026,0,2,17,8,62,348,63,151,115
255,77720,0,2,68,204,193,80,233,20,124
256,112148,0,2,68,97,274,656,454,95,161
257,104269,2,0,84,75,161,177,341,254,27
258,92055,1,0,88,784,134,447,573,197,23
259,103009,1,0,49,802,349,392,356,263,198
260,104531,1,1,1,569,252,578,406,144,169
261,113756,1,0,26,139,55,556,285,162,4
262,114841,0,1,55,669,53,312,362,103,16
263,64168,0,1,27,873,125,22,72,242,104
264,111058,0,2,51,193,194,25,372,21,31
265,110404,2,0,42,647,188,383,4,182,58
266,33322,0,2,26,184,438,344,309,110,94
267,142572,2,1,33,58,384,480,434,109,171
268,73429,1,2,97,191,28,491,141,131,197
269,89590,1,0,3,776,474,25,129,204,160
270,136625,1,1,81,170,208,242,156,173,74
271,71200,2,2,99,179,459,107,228,287,69
272,149231,2,0,60,973,96,206,180,172,53
273,92872,0,0,57,496,387,242,5,241,150
274,128433,2,0,21,751,478,772,585,264,8
275,100063,1,2,84,43,366,675,113,262,124
276,133359,0,2,80,753,312,644,534,159,108
277,70895,1,0,81,58,19,486,72,227,104
278,69565,0,0,29,729,6,790,416,47,22
279,41058,2,1,82,967,153,179,404,88,59
280,138068,0,0,50,334,442,568,308,202,93
281,146989,2,2,65,91,111,38,47,7,92
282,27913,2,0,20,273,346,4,497,28,133
283,27815,1,2,67,370,73,115,63,239,78
284,138518,2,1,18,168,422,72,137,207,106
285,57910,1,2,23,9,470,160,208,278,122
286,121273,2,1,68,613,249,693,171,32,34
287,128237,1,1,63,411,343,407,75,276,56
288,56416,2,0,65,666,159,372,174,146,140
289,125134,2,2,65,22,114,523,275,113,41
290,41744,0,1,57,201,2,218,379,247,86
291,67215,2,0,4,935,43,540,360,147,162
292,75499,1,0,36,42,302,702,511,258,58
293,86584,1,2,33,708,474,172,232,142,30
294,36476,2,0,67,246,23,657,562,251,138
295,103654,2,0,87,605,267,428,85,267,3
296,81106,0,2,26,494,473,266,582,269,18
297,58310,1,0,62,204,103,425,339,251,170
298,56528,2,1,11,893,182,185,526,140,68
299,142613,2,0,12,963,36,155,166,60,17
300,60888,0,0,41,6,399,243,358,189,136
301,123298,0,0,6,833,473,617,65,101,35
302,106289,2,0,34,486,61,525,549,282,138
303,79276,1,2,12,261,29,385,245,167,127
304,23441,2,1,46,195,181,390,72,169,126
305,57621,0,0,46,673,21,367,215,259,76
306,84799,2,2,30,469,300,269,284,271,25
307,95478,1,2,40,337,380,391,135,205,112
308,53652,2,2,94,133,422,666,266,248,142
309,72801,2,2,73,518,369,547,89,170,171
310,53268,0,1,18,341,223,98,536,80,140
311,76552,0,1,30,233,268,485,479,263,9
312,93170,1,1,99,855,298,267,95,170,52
313,111264,1,2,51,36,415,9,320,279,57
314,122405,2,2,98,835,470,488,314,236,118
315,30027,2,0,93,775,272,687,481,266,105
316,81145,2,0,1,297,10,454,388,191,192
317,109577,1,1,75,502,448,669,94,122,144
318,59005,1,1,89,675,14,57,458,141,34
319,61347,2,0,55,794,280,458,110,162,110
320,94730,1,2,8,600,437,429,434,197,47
321,136016,0,0,77,711,322,8,166,44,98
322,53334,1,1,98,953,244,399,114,270,12
323,88191,2,1,87,906,449,359,144,17,53
324,41127,0,2,85,178,35,211,480,294,182
325,89006,2,0,20,477,384,201,243,133,70
326,119747,2,0,86,306,61,682,402,13,29
327,97060,0,1,6,155,383,448,251,135,17
328,98089,2,2,51,373,386,429,466,26,171
329,137868,1,0,68,508,337,108,117,280,96
330,58541,0,2,60,33,257,491,410,270,159
331,53743,1,1,15,734,395,82,532,270,175
332,80670,1,0,21,915,462,14,363,232,149
333,139119,2,2,60,282,363,17,515,248,124
334,48603,0,1,46,220,183,97,242,244,23
335,38088,2,0,94,247,498,491,569,215,34
336,53991,1,0,44,190,183,201,546,284,154
337,59025,2,0,54,548,275,798,492,70,100
338,100953,2,1,63,711,146,744,1,153,199
339,91422,0,1,96,446,9,84,437,298,169
340,36194,0,0,92,638,123,773,551,132,10
341,131560,2,2,93,805,498,496,43,285,127
342,77499,0,2,76,296,338,95,481,70,102
343,29687,2,1,19,420,208,399,89,230,78
344,127172,0,1,50,191,127,225,158,96,28
345,128078,0,0,83,277,338,221,78,128,183
346,22985,2,2,24,81,188,329,237,70,72
347,83430,1,0,6,253,276,311,517,169,105
348,23160,0,1,68,490,193,406,73,121,12
349,31934,0,1,61,44,472,178,275,245,87
350,135955,2,2,28,170,353,451,420,163,35
351,94336,0,0,55,553,183,67,306,8,76
352,22678,0,2,57,508,482,482,131,15,189
353,81090,2,0,76,878,61,171,545,77,146
354,34123,0,1,97,244,321,430,302,100,19
355,44685,2,1,24,512,202,728,28,204,47
356,29496,0,0,32,680,464,319,278,217,125
357,131847,2,2,29,407,359,360,356,0,170
358,47243,2,0,8,545,183,332,142,124,53
359,89307,0,2,15,982,410,501,446,276,91
360,47246,0,2,67,125,367,373,571,36,165
361,44236,2,1,6,306,435,347,462,211,62
362,145228,1,1,98,997,197,580,539,190,1
363,133672,0,0,97,895,181,374,501,95,51
364,61277,1,0,18,613,73,429,3,121,199
365,38909,1,0,14,327,118,795,255,22,42
366,148121,0,2,19,165,394,226,10,209,98
367,124035,1,0,45,520,380,695,549,44,42
368,49666,0,0,10,644,234,493,511,146,184
369,101365,2,1,70,906,59,455,320,75,81
370,128823,0,1,8,282,360,82,120,128,128
371,112569,0,2,47,453,261,52,93,57,160
372,25508,0,1,94,659,484,594,314,144,131
373,74141,2,1,91,963,251,26,503,61,147
374,124196,2,0,24,124,30,297,493,30,153
375,128183,1,0,29,608,393,433,230,130,41
376,69879,1,1,31,339,231,362,93,40,167
377,123851,2,0,60,931,271,262,504,81,198
378,101286,1,0,71,781,44,538,437,21,15
379,62129,0,2,1,315,7,294,459,174,94
380,147390,1,2,97,318,353,754,404,280,30
381,45035,2,0,70,103,140,687,86,227,11
382,43509,1,1,8,692,294,431,101,43,1
383,21309,0,2,83,317,189,191,574,56,5
384,149319,2,0,61,781,166,9,362,244,172
385,70126,0,1,48,539,465,785,196,35,160
386,136090,0,1,64,169,436,103,61,112,124
387,66224,1,2,10,848,193,430,529,281,166
388,126622,0,2,52,659,420,610,292,16,73
389,86196,1,2,65,131,365,21,539,192,156
390,51932,2,0,51,726,172,545,237,78,179
391,81622,2,2,41,95,11,270,356,33,93
392,107244,0,1,45,436,240,100,108,182,190
393,121754,2,1,36,484,342,624,536,77,58
394,20987,0,2,88,790,299,0,58,202,25
395,98815,1,2,14,635,167,328,41,293,77
396,137936,0,0,70,229,416,632,302,232,33
397,105493,1,2,86,99,268,297,212,74,0
398,118195,1,1,18,56,109,777,75,263,167
399,133123,2,0,13,646,457,692,481,145,1
400,147365,2,2,88,78,84,404,552,48,69
401,148363,1,2,13,674,207,179,330,91,18
402,136613,2,0,95,435,429,795,355,90,199
403,42934,2,1,70,280,423,208,251,272,103
404,23959,0,2,41,768,342,762,395,147,139
405,124053,0,0,28,876,106,565,75,295,160
406,143876,1,0,71,665,207,88,131,110,34
407,58394,2,2,33,50,166,743,155,108,74
408,131218,2,1,14,648,261,32,208,221,25
409,67403,1,0,52,257,489,265,236,51,28
410,140551,0,0,71,689,43,328,42,244,130
411,61184,0,1,70,84,478,573,583,6,162
412,22748,1,2,8,217,496,628,416,263,153
413,129407,1,2,2,435,42,105,404,91,153
414,31614,2,2,57,997,273,356,527,195,33
415,23333,0,1,16,537,358,467,464,128,135
416,39726,2,1,18,927,460,174,478,77,197
417,36020,1,2,67,622,419,437,321,139,130
418,145897,2,2,61,1,145,688,87,43,194
419,27213,1,2,61,71,193,320,231,7,72
420,102421,0,1,96,369,491,789,124,233,8
421,138699,2,2,24,843,39,271,508,294,66
422,95067,2,0,84,478,14,240,598,146,112
423,42595,2,2,9,396,244,249,179,57,5
424,113338,1,1,58,768,426,153,356,36,140
425,44136,1,2,71,258,266,443,366,255,11
426,47984,1,2,67,367,223,562,514,237,9
427,51494,2,0,94,687,382,123,382,179,156
428,127958,2,2,51,456,312,459,239,188,56
429,31548,1,1,12,341,67,492,152,80,30
430,61010,2,1,17,834,173,585,335,249,122
431,111002,1,0,20,271,455,622,520,196,170
432,110429,1,2,28,588,494,779,207,293,114
433,128138,0,0,95,278,155,70,196,233,79
434,114417,2,2,25,717,463,638,0,185,16
435,77107,0,1,26,995,277,691,104,270,58
436,25939,1,2,43,479,312,716,318,112,16
437,141109,0,2,54,572,144,751,542,18,116
438,48847,2,0,48,872,208,211,391,93,64
439,21843,2,0,42,553,68,413,202,8,188
440,68660,2,1,27,378,445,460,298,99,84
441,121275,2,1,58,264,63,203,112,288,47
442,39573,1,0,24,194,476,470,47,114,169
443,129592,0,2,20,795,77,461,419,196,17
444,32634,1,2,32,288,400,98,443,194,187
445,149706,0,0,66,193,285,155,279,151,56
446,23754,2,0,57,799,193,32,420,107,140
447,33484,0,0,40,450,256,240,566,268,110
448,72525,1,0,1,753,406,546,110,237,44
449,71312,0,1,36,851,197,138,487,70,42
450,53244,2,2,35,27,90,76,336,85,52
451,115548,2,1,63,828,368,587,593,234,195
452,34739,1,0,24,114,51,497,268,229,84
453,97024,0,1,81,930,156,131,166,247,110
454,25600,1,2,7,280,485,56,26,198,49
455,128259,0,0,12,562,115,361,96,42,18
456,38438,1,1,92,512,465,109,403,24,87
457,134442,1,1,73,360,313,584,444,266,62
458,29335,1,2,57,37,1,242,364,130,172
459,124831,0,1,52,58,326,600,93,177,150
460,141892,1,1,12,96,459,500,370,122,172
461,105397,1,2,36,260,37,67,574,22,3
462,143329,0,1,45,86,189,796,274,184,190
463,96759,0,1,59,855,410,91,184,128,107
464,135309,0,0,92,512,181,481,201,293,27
465,126147,1,2,91,782,298,81,516,169,91
466,73826,1,0,45,434,446,791,118,112,99
467,32590,1,2,47,34,317,566,590,242,76
468,86253,1,1,62,630,49,210,508,54,113
469,36704,2,1,15,282,36,240,461,223,68
470,68977,2,0,76,433,211,377,302,192,147
471,100669,0,1,67,102,189,230,35,75,105
472,44270,0,1,10,733,138,128,326,155,80
473,112996,1,0,50,221,245,751,594,136,190
474,138114,0,2,1,416,181,312,496,208,89
475,145978,1,0,19,341,169,182,260,159,182
476,107007,2,0,29,581,452,692,385,26,19
477,76453,0,0,11,820,272,374,581,198,110
478,24361,1,0,28,255,456,248,368,40,49
479,55606,1,0,19,540,414,512,433,174,80
480,85376,1,1,51,950,19,571,513,161,60
481,67617,2,2,89,568,487,94,393,8,31
482,100110,1,1,1,404,265,81,148,17,8
483,37265,2,1,77,741,425,194,152,56,175
484,49426,2,1,59,788,421,743,103,9,38
485,117025,1,1,10,362,442,207,247,9,164
486,94179,1,2,27,111,429,572,525,245,16
487,21449,0,0,87,181,72,350,15,202,122
488,121778,0,0,57,982,389,782,220,252,84
489,129905,1,0,96,15,71,566,83,209,124
490,53961,0,1,49,876,315,349,291,152,161
491,102240,1,1,27,777,493,648,372,34,125
492,38350,0,0,58,62,24,200,189,76,98
493,126098,2,2,52,704,382,125,373,227,102
494,90207,2,1,89,215,396,217,247,143,128
495,35723,0,2,19,351,116,301,254,41,75
496,62806,1,2,60,149,75,24,164,276,36
497,69206,1,1,3,376,27,580,262,140,34
498,109386,0,0,3,481,427,267,292,189,3
499,122798,2,2,93,693,144,25,352,212,157
500,92700,1,0,3,464,193,538,15,140,196
